City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,antonio enes,-16.2325,39.9086,298.13,74,100,4.59,MZ,2023-11-11
277,karonga,-9.9333,33.9333,300.01,65,100,3.32,MW,2023-11-11
278,palmer,42.1584,-72.3287,276.23,79,75,0.0,US,2023-11-11
279,taltal,-25.4,-70.4833,291.98,72,4,0.82,CL,2023-11-11
280,longboat key,27.4125,-82.659,296.64,63,0,2.57,US,2023-11-11
281,raton,36.9034,-104.4391,275.49,60,100,3.09,US,2023-11-11
282,washington,47.5001,-120.5015,276.54,84,100,0.83,US,2023-11-11
283,toropets,56.4978,31.6353,276.43,94,100,3.51,RU,2023-11-11
284,zeya,53.75,127.2667,263.98,43,0,2.87,RU,2023-11-11
285,san sebastian de la gomera,28.0916,-17.1133,295.34,64,0,3.09,ES,2023-11-11
286,haiku-pauwela,20.9219,-156.3051,300.64,64,20,8.75,US,2023-11-11
287,qarauyl,48.9451,79.255,275.65,78,44,4.49,KZ,2023-11-11
288,batangafo,7.3008,18.2833,294.65,92,84,1.5,CF,2023-11-11
289,karasuk,53.7377,78.0403,275.18,97,100,5.18,RU,2023-11-11
290,maibong,25.3,93.1667,294.27,72,4,1.09,IN,2023-11-11
291,afaahiti,-17.75,-149.2833,302.08,84,100,4.85,PF,2023-11-11
292,novhorod-sivers'kyy,52.0058,33.2615,277.62,81,100,5.92,UA,2023-11-11
293,khanpur,28.6453,70.6567,290.85,58,0,3.67,PK,2023-11-11
294,hami,42.8,93.45,277.22,25,100,2.13,CN,2023-11-11
295,jeremoabo,-10.075,-38.4808,294.07,86,0,4.67,BR,2023-11-11
296,sungai penuh,-2.0833,101.3833,296.5,79,59,0.83,ID,2023-11-11
297,fale old settlement,-9.3852,-171.2468,302.06,75,32,4.15,TK,2023-11-11
298,vytegra,61.0064,36.4481,276.68,89,100,5.36,RU,2023-11-11
299,mount gambier,-37.8333,140.7667,290.57,43,6,5.09,AU,2023-11-11
300,jianshui,23.6363,102.8264,294.04,72,1,1.33,CN,2023-11-11
301,afif,23.9065,42.9172,292.14,35,99,3.04,SA,2023-11-11
302,astorga,-23.2325,-51.6656,298.51,63,6,5.49,BR,2023-11-11
303,carutapera,-1.195,-46.02,300.12,74,14,5.07,BR,2023-11-11
304,laguna,38.421,-121.4238,287.37,55,0,1.54,US,2023-11-11
305,yulinshi,38.2906,109.7494,273.53,23,1,3.65,CN,2023-11-11
306,glace bay,46.1969,-59.957,275.2,88,40,5.14,CA,2023-11-11
307,sinabang,2.4803,96.3801,299.97,79,100,0.51,ID,2023-11-11
308,sambava,-14.2667,50.1667,297.32,91,48,1.52,MG,2023-11-11
309,hirara,24.8,125.2833,298.62,79,66,7.3,JP,2023-11-11
310,kodinsk,58.6881,99.1844,260.06,94,18,1.48,RU,2023-11-11
